iter	Passed	Remaining
0	0	115
1	1	141
2	1	121
3	2	111
4	2	104
5	3	100
6	3	97
7	4	95
8	4	93
9	5	92
10	5	92
11	6	90
12	6	90
13	13	172
14	14	165
15	14	160
16	15	154
17	15	149
18	16	145
19	16	141
20	17	138
21	17	135
22	18	134
23	19	134
24	20	132
25	21	134
26	22	136
27	23	138
28	24	137
29	25	137
30	26	135
31	26	132
32	28	135
33	28	132
34	29	130
35	29	128
36	30	125
37	30	123
38	31	121
39	31	119
40	32	117
41	32	115
42	33	113
43	33	111
44	34	109
45	34	108
46	34	106
47	35	104
48	35	103
49	36	101
50	36	100
51	37	98
52	37	97
53	38	95
54	38	94
55	39	93
56	39	92
57	39	90
58	40	89
59	40	88
60	41	87
61	41	86
62	42	85
63	42	83
64	43	82
65	43	81
66	44	80
67	44	79
68	44	78
69	45	77
70	45	76
71	46	75
72	46	74
73	47	73
74	47	72
75	48	72
76	48	71
77	48	70
78	49	69
79	49	68
80	50	67
81	50	66
82	51	65
83	51	65
84	52	64
85	52	63
86	52	62
87	53	61
88	53	61
89	54	60
90	54	59
91	55	58
92	55	57
93	55	57
94	56	56
95	56	55
96	57	54
97	57	54
98	58	53
99	58	52
100	59	52
101	59	51
102	59	50
103	60	49
104	60	49
105	61	48
106	61	47
107	62	47
108	62	46
109	63	45
110	63	45
111	63	44
112	64	43
113	64	43
114	65	42
115	65	41
116	66	41
117	66	40
118	67	40
119	67	39
120	67	38
121	68	38
122	68	37
123	69	36
124	69	36
125	70	35
126	70	34
127	70	34
128	71	33
129	71	33
130	72	32
131	72	31
132	73	31
133	73	30
134	74	30
135	74	29
136	75	29
137	75	28
138	76	27
139	76	27
140	76	26
141	77	26
142	77	25
143	78	25
144	78	24
145	79	23
146	79	23
147	80	22
148	80	22
149	80	21
150	81	21
151	81	20
152	82	19
153	82	19
154	83	18
155	83	18
156	84	17
157	84	17
158	85	16
159	85	16
160	85	15
161	86	14
162	86	14
163	87	13
164	87	13
165	88	12
166	88	12
167	89	11
168	89	11
169	89	10
170	90	10
171	90	9
172	91	8
173	91	8
174	92	7
175	92	7
176	93	6
177	93	6
178	93	5
179	94	5
180	94	4
181	95	4
182	95	3
183	96	3
184	96	2
185	97	2
186	97	1
187	97	1
188	98	0
189	98	0
